Product ID,Type,Air temperature [C],Process temperature [C],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure type
L48403,L,23.85,35.15,1492,48.1,137,0,NOT
L48404,L,23.95,35.15,1763,25.7,139,0,NOT
H30639,H,23.95,35.15,1492,41.5,141,0,NOT
L48406,L,23.95,35.25,1488,42.5,146,0,NOT
L48407,L,23.95,35.25,1422,42.1,148,0,NOT
M16088,M,23.95,35.25,1583,38.2,150,0,NOT
L48409,L,23.95,35.25,1304,53.5,153,0,NOT
M16090,M,23.95,35.25,1880,23.5,155,0,NOT
M16091,M,24.05,35.35,1604,40.7,158,0,NOT
L48412,L,24.05,35.45,1500,37.1,161,0,NOT
M16093,M,24.05,35.35,1364,55.6,163,0,NOT
H30648,H,24.05,35.35,2440,14,166,0,NOT
H30649,H,23.95,35.25,1654,31.4,171,0,NOT
H30650,H,23.95,35.25,1359,46.6,176,0,NOT
M16097,M,23.95,35.25,1502,37.3,181,0,NOT
M16098,M,23.95,35.25,1615,32.6,184,0,NOT
H30653,H,24.05,35.35,1482,39.3,187,0,NOT
L48420,L,24.05,35.45,1636,31.3,192,0,NOT
M16101,M,23.95,35.35,1621,32.4,194,0,NOT
L48422,L,23.95,35.25,1468,44.4,197,0,NOT
M16103,M,23.95,35.25,1432,53.4,199,0,NOT
L48424,L,23.95,35.25,1726,28.4,202,0,NOT
M16105,M,23.95,35.25,1588,33.4,204,0,NOT
H30660,H,24.05,35.35,1653,33.3,207,0,NOT
L48427,L,24.05,35.35,1513,42.9,212,0,NOT
L48428,L,24.05,35.45,1489,40.2,214,0,NOT
L48429,L,24.15,35.55,1467,36.8,216,0,NOT
L48430,L,24.15,35.55,1549,36.1,218,0,NOT
M16111,M,24.25,35.65,1359,48.7,220,0,NOT
L48432,L,24.35,35.65,1533,41.5,223,0,NOT
L48433,L,24.35,35.65,1309,57.3,0,0,NOT
H30668,H,24.35,35.65,1430,49.4,2,0,NOT
H30669,H,24.35,35.75,1419,50.7,7,0,NOT
M16116,M,24.35,35.75,1535,37.7,12,0,NOT
L48437,L,24.35,35.75,1466,43,15,0,NOT
L48438,L,24.35,35.75,1427,50.4,17,0,NOT
M16119,M,24.35,35.75,1280,48.5,19,0,NOT
L48440,L,24.45,35.85,1528,33.8,22,0,NOT
H30675,H,24.45,35.85,1885,25.2,24,0,NOT
H30676,H,24.65,36.05,1648,33,29,0,NOT
L48443,L,24.65,36.05,1400,56.9,34,0,NOT
M16124,M,24.65,36.15,2243,15.7,36,0,NOT
L48445,L,24.75,36.25,1558,35.7,39,0,NOT
L48446,L,24.85,36.45,1633,34.8,41,0,NOT
M16127,M,24.95,36.45,1549,38.7,43,0,NOT
L48448,L,24.85,36.35,1496,45.8,46,0,NOT
L48449,L,24.95,36.35,1467,41.8,48,0,NOT
M16130,M,24.85,36.25,1276,65.9,50,0,NOT
H30685,H,24.85,36.25,1490,40.5,53,0,NOT
H30686,H,24.85,36.25,1562,38.1,58,0,NOT
L48453,L,24.95,36.25,1397,48.2,63,0,NOT
H30688,H,24.95,36.35,1530,40.2,65,0,NOT
M16135,M,24.95,36.25,1362,47.6,70,0,NOT
M16136,M,25.05,36.25,1693,34.4,73,0,NOT
M16137,M,25.05,36.25,1408,46.5,76,0,NOT
L48458,L,25.05,36.25,1398,52.9,79,0,NOT
M16139,M,25.15,36.45,1531,40.1,81,0,NOT
H30694,H,25.15,36.35,1521,37.1,84,0,NOT
H30695,H,25.15,36.35,1427,54.3,89,0,NOT
L48462,L,25.15,36.25,1546,36.1,94,0,NOT
L48463,L,25.15,36.25,1356,45.4,96,0,NOT
L48464,L,25.25,36.35,2153,15.3,98,1,PWF
M16145,M,25.35,36.45,1492,41.7,100,0,NOT
L48466,L,25.35,36.45,1582,40.3,103,0,NOT
L48467,L,25.35,36.45,1419,41.5,105,0,NOT
M16148,M,25.35,36.45,1441,48.2,107,0,NOT
M16149,M,25.45,36.55,1635,32.2,110,0,NOT
L48470,L,25.45,36.55,1429,45.8,113,0,NOT
M16151,M,25.45,36.55,1675,28.4,115,0,NOT
M16152,M,25.55,36.55,1868,23.8,118,0,NOT
H30707,H,25.55,36.65,1582,33.4,121,0,NOT
L48474,L,25.65,36.75,1486,40.3,126,0,NOT
L48475,L,25.55,36.65,1402,54.3,128,0,NOT
L48476,L,25.55,36.75,1621,34.1,130,0,NOT
L48477,L,25.65,36.75,1428,42.4,132,0,NOT
M16158,M,25.55,36.65,1343,53.6,134,0,NOT
M16159,M,25.55,36.75,1458,40.2,137,0,NOT
L48480,L,25.55,36.65,1322,57,140,0,NOT
L48481,L,25.55,36.75,1483,32.8,142,0,NOT
L48482,L,25.45,36.65,1505,45.7,144,0,RNF
L48483,L,25.55,36.75,1593,42.5,146,0,NOT
L48484,L,25.65,36.85,2098,19.6,148,0,NOT
L48485,L,25.65,36.85,1672,30.4,150,0,NOT
L48486,L,25.65,36.85,1487,41.4,152,0,NOT
L48487,L,25.65,36.85,1423,42.1,154,0,NOT
L48488,L,25.75,36.95,1750,25,156,0,NOT
L48489,L,25.75,37.05,1654,31.1,158,0,NOT
L48490,L,25.75,37.05,1498,50.2,160,0,NOT
L48491,L,25.75,36.95,1587,30.2,162,0,NOT
L48492,L,25.75,36.95,1473,42.6,164,0,NOT
L48493,L,25.75,37.05,1359,56.9,166,0,NOT
M16174,M,25.85,37.15,1635,34.5,168,0,NOT
L48495,L,25.85,37.15,1520,45,171,0,NOT
L48496,L,25.85,37.15,1507,36.7,173,0,NOT
L48497,L,25.85,37.15,1428,46.3,175,0,NOT
M16178,M,25.85,37.15,1582,33.3,177,0,NOT
L48499,L,25.85,37.15,1929,24.4,180,0,NOT
M16180,M,25.85,37.15,1540,38.1,182,0,NOT
L48501,L,25.75,37.05,1362,53,185,0,NOT
H30736,H,25.75,36.95,1452,49.9,187,0,NOT
L48503,L,25.75,36.95,1361,51.7,192,0,NOT
H30739,H,25.65,36.95,1567,36.8,197,0,NOT
L48506,L,25.75,37.05,1411,46.5,202,0,NOT
L48507,L,25.65,37.05,1814,26.8,204,0,NOT
M16188,M,25.65,36.95,1719,28.8,206,0,NOT
H30743,H,25.65,37.05,1663,30.4,209,0,NOT
L48510,L,25.75,37.05,1696,30.2,214,0,NOT
H30745,H,25.75,37.05,1771,26.8,216,0,NOT
L48512,L,25.85,37.15,1868,24,221,0,NOT
M16193,M,25.85,37.15,1558,35.4,223,0,NOT
L48514,L,25.85,37.25,1365,49.1,226,1,OSF
L48515,L,25.85,37.25,1371,53.8,228,1,OSF
L48516,L,25.75,37.15,1583,32.6,230,0,NOT
H30751,H,25.55,37.05,1613,36,0,0,NOT
L48518,L,25.45,36.95,1721,27.2,5,0,NOT
M16199,M,25.45,37.05,1668,31.5,7,0,NOT
L48520,L,25.45,37.05,1569,36.3,10,0,NOT
M16201,M,25.45,37.05,1328,50.5,12,0,NOT
M16202,M,25.45,36.95,1596,33,15,0,NOT
L48523,L,25.35,37.05,1676,32.7,18,0,NOT
L48524,L,25.35,36.95,1809,28.9,20,0,NOT
L48525,L,25.35,36.85,1804,26.1,22,0,NOT
L48526,L,25.45,36.95,1533,33.9,24,0,NOT
L48527,L,25.55,37.05,1717,27.3,26,0,NOT
L48528,L,25.55,37.05,1363,45.5,28,0,NOT
L48529,L,25.55,37.05,1402,45.9,30,0,NOT
L48530,L,25.55,37.05,1436,47.5,32,0,NOT
L48531,L,25.55,37.05,1525,43.7,34,0,NOT
M16212,M,25.55,37.05,1598,33.3,36,0,NOT
M16213,M,25.45,36.95,1444,48.1,39,0,NOT
L48534,L,25.45,36.85,1334,48,42,0,NOT
M16215,M,25.45,36.85,1681,35.5,44,0,NOT
L48536,L,25.45,36.75,1593,37.4,47,0,NOT
L48537,L,25.45,36.75,1461,45.7,49,0,NOT
M16218,M,25.55,36.95,1693,31.9,51,0,NOT
L48539,L,25.55,37.05,1404,50.3,54,0,NOT
H30774,H,25.65,37.05,1707,27.6,56,0,NOT
M16221,M,25.45,36.95,1458,41.9,61,0,NOT
L48542,L,25.45,36.85,1517,41.2,64,0,NOT
L48543,L,25.55,36.95,1433,54.6,66,0,NOT
L48544,L,25.55,37.05,1566,33.1,68,0,NOT
L48545,L,25.55,36.95,1676,33.5,70,0,NOT
M16226,M,25.55,36.95,1368,56.8,72,0,NOT
M16227,M,25.65,37.05,1581,37.5,75,0,NOT
H30782,H,25.65,37.15,1708,27.1,78,0,NOT
M16229,M,25.55,37.15,1481,41.5,83,0,NOT
L48550,L,25.55,37.15,1451,40,86,0,NOT
M16231,M,25.55,37.15,1495,38.7,88,0,NOT
M16232,M,25.65,37.15,1573,41.8,91,0,NOT
M16233,M,25.65,37.15,1366,59,94,0,NOT
L48554,L,25.65,37.15,1553,36.8,97,0,NOT
M16235,M,25.65,37.15,1528,37.1,99,0,NOT
M16236,M,25.65,37.05,1527,31.2,102,0,NOT
L48557,L,25.65,37.05,1461,46.7,105,0,NOT
H30792,H,25.65,37.05,1455,44.9,107,0,NOT
L48559,L,25.55,36.95,1620,34.8,112,0,NOT
L48560,L,25.55,36.95,1786,27.7,114,0,NOT
M16241,M,25.65,37.05,1583,35.7,116,0,NOT
L48562,L,25.65,36.95,1653,30.3,119,0,NOT
M16243,M,25.75,37.05,1331,49,121,0,NOT
L48564,L,25.75,37.15,1484,43.8,124,0,NOT
M16245,M,25.75,37.05,1603,36.1,126,0,NOT
L48566,L,25.75,37.05,1445,40,129,0,NOT
L48567,L,25.75,36.95,1823,26.1,131,0,NOT
H30802,H,25.75,36.95,1491,45.3,133,0,NOT
L48569,L,25.75,37.05,1533,42.8,138,0,NOT
L48570,L,25.75,37.05,1409,54.8,140,0,NOT
L48571,L,25.75,37.05,2737,8.8,142,1,PWF
M16252,M,25.85,37.15,1494,46.6,144,0,NOT
L48573,L,25.95,37.25,1594,33.3,147,0,NOT
L48574,L,25.95,37.25,1527,44,149,0,NOT
L48575,L,25.95,37.25,1452,39.7,151,0,NOT
L48576,L,25.85,37.15,1483,39.2,153,0,NOT
L48577,L,25.95,37.05,1569,38.2,155,0,NOT
L48578,L,25.95,37.15,1472,46.6,157,0,NOT
L48579,L,25.85,37.05,1533,43.5,159,0,NOT
H30814,H,25.75,36.95,1366,62.7,161,0,NOT
H30815,H,25.75,37.05,1532,37.7,166,0,NOT
M16262,M,25.75,36.95,1313,56.8,171,0,NOT
L48583,L,25.85,37.05,1372,48,174,0,NOT
M16264,M,25.75,36.95,1555,40.6,176,0,NOT
L48585,L,25.75,36.95,1394,42.7,179,0,NOT
L48586,L,25.75,36.95,1442,48,181,0,NOT
L48587,L,25.75,36.85,1564,33.8,183,0,NOT
L48588,L,25.75,36.85,1452,48.9,185,0,NOT
L48589,L,25.75,36.95,1466,42.5,187,0,NOT
M16270,M,25.75,36.95,1469,53.2,189,0,NOT
L48591,L,25.75,36.95,1944,23.4,192,0,NOT
M16272,M,25.65,36.75,1415,53.2,194,0,NOT
M16273,M,25.55,36.65,1528,36.7,197,0,NOT
M16274,M,25.55,36.65,1570,42.1,200,0,NOT
L48595,L,25.55,36.75,1617,33,203,0,NOT
M16276,M,25.55,36.75,2083,18.2,205,0,NOT
L48597,L,25.55,36.75,1541,38.5,208,0,NOT
L48598,L,25.65,36.75,1320,47.4,210,0,NOT
L48599,L,25.55,36.65,1354,53.3,212,1,OSF
M16280,M,25.65,36.75,1495,35.2,214,0,NOT
L48601,L,25.55,36.65,1589,31.8,217,0,NOT
L48602,L,25.55,36.65,1530,35.5,0,0,NOT
L48603,L,25.55,36.65,1539,33.4,2,0,NOT
L48604,L,25.55,36.55,1462,46.8,4,0,NOT
L48605,L,25.45,36.55,1356,54,6,0,NOT
M16286,M,25.55,36.55,1622,34.6,8,0,NOT
L48607,L,25.55,36.65,1394,40.3,11,0,NOT
L48608,L,25.65,36.75,1568,33.7,13,0,NOT
M16289,M,25.75,36.85,1456,43.8,15,0,NOT
L48610,L,25.75,36.85,1378,49.3,18,0,NOT
M16291,M,25.75,36.75,1404,41.4,20,0,NOT
L48612,L,25.65,36.65,1437,42.8,23,0,NOT
L48613,L,25.65,36.65,1363,44,25,0,NOT
M16294,M,25.65,36.65,1377,49.6,27,0,NOT
H30849,H,25.65,36.75,1526,42.1,30,0,NOT
H30850,H,25.65,,1510,44.2,35,0,NOT
H30851,H,25.65,36.75,1439,45.2,40,1,OTHER
L48618,L,25.65,36.75,1482,39.1,45,0,NOT
M16299,M,25.65,36.65,1534,37,47,0,NOT
M16300,M,25.65,36.75,1741,27.7,50,0,NOT
L48621,L,25.65,36.75,1550,38.8,53,0,NOT
M16302,M,25.65,36.85,1486,38.5,55,0,NOT
L48623,L,25.75,36.95,1602,38.2,58,0,NOT
L48624,L,25.85,37.05,1477,37.9,60,0,NOT
L48625,L,25.85,36.95,1618,29.2,62,0,NOT
M16306,M,25.85,37.05,1628,35.8,64,0,NOT
M16307,M,25.85,37.15,1662,33.6,67,0,NOT
M16308,M,25.85,37.15,1657,31,70,0,NOT
H30863,H,25.85,37.25,1677,30.8,73,0,NOT
M16310,M,25.85,37.15,1447,39.9,78,0,NOT
L48631,L,25.75,37.25,1831,25.4,81,0,NOT
L48632,L,25.85,37.15,1584,34.4,83,0,NOT
L48633,L,25.95,37.25,1450,40.9,85,0,NOT
L48634,L,25.95,37.25,1428,46.9,87,0,NOT
L48635,L,25.85,37.25,1382,53,89,0,NOT
L48636,L,25.85,37.15,1501,43,91,0,NOT
L48637,L,25.85,37.15,1475,42.4,93,0,NOT
L48638,L,25.75,37.15,1364,54,95,0,NOT
L48639,L,25.85,37.15,1472,36.1,97,0,NOT
L48640,L,25.85,37.15,1437,47.8,99,0,NOT
L48641,L,25.75,37.05,1491,45.1,101,0,NOT
L48642,L,25.75,37.05,1706,27.6,103,0,NOT
L48643,L,25.65,36.95,1607,39.5,105,0,NOT
L48644,L,25.65,36.85,1412,46.3,107,0,NOT
L48645,L,25.55,36.65,1546,40.9,109,0,NOT
L48646,L,25.55,36.65,1365,50.5,111,0,NOT
L48647,L,25.45,36.65,1544,30.2,113,0,NOT
M16328,M,25.45,36.65,1419,44.9,115,0,NOT
L48649,L,25.45,36.65,1497,41.6,118,0,NOT
L48650,L,25.35,36.55,1437,42.6,120,0,NOT
L48651,L,25.35,36.45,1421,53.6,122,0,NOT
M16332,M,25.35,36.45,1438,44.5,124,0,NOT
M16333,M,25.35,36.35,1315,48.9,127,0,NOT
M16334,M,25.35,36.35,1366,61.9,130,0,NOT
M16335,M,25.25,36.35,1519,35.4,133,0,NOT
L48656,L,25.25,36.35,1692,28.3,136,0,NOT
L48657,L,25.15,36.25,1570,35.6,138,0,NOT
L48658,L,25.15,36.25,1568,35.8,140,0,NOT
L48659,L,25.05,36.15,1355,43.8,142,0,NOT
M16340,M,25.05,36.15,2056,18.7,144,0,NOT
M16341,M,25.05,36.05,1332,60.2,147,0,NOT
M16342,M,24.95,35.95,1448,52.5,150,0,NOT
L48663,L,24.85,35.75,1578,35.6,153,0,NOT
M16344,M,24.85,35.85,1562,39.2,155,0,NOT
M16345,M,24.95,35.85,1976,19.3,158,0,NOT
M16346,M,25.05,36.05,1524,34.6,161,0,NOT
L48667,L,25.05,35.95,1429,48.5,164,0,NOT
L48668,L,25.05,35.95,1568,36.3,166,0,NOT
M16349,M,25.05,35.85,1723,26.6,168,0,NOT
L48670,L,25.05,35.85,1341,43.8,171,0,NOT
M16351,M,24.95,35.75,1353,46.2,173,0,NOT
M16352,M,24.85,35.55,1479,58.5,176,1,PWF
L48673,L,24.85,35.65,1496,44.9,179,0,NOT
M16354,M,24.85,35.55,1377,48.5,181,0,NOT
H30909,H,24.75,35.35,1383,44.6,184,0,NOT
L48677,L,24.85,35.55,1629,34.3,191,0,NOT
L48678,L,24.85,35.65,1790,27.2,193,0,NOT
M16359,M,24.95,35.65,2206,16.3,195,0,NOT
M16360,M,24.85,35.55,2101,17.4,198,0,NOT
M16361,M,24.85,35.55,1436,48.2,201,0,NOT
L48682,L,24.85,35.55,1462,48.2,204,0,NOT
L48683,L,24.85,35.55,1771,26.2,206,0,NOT
L48684,L,24.85,35.55,1506,47,208,0,NOT
L48685,L,24.85,35.55,1626,36.7,210,0,NOT
L48686,L,24.85,35.65,1610,33.7,212,0,NOT
M16367,M,24.85,35.45,1376,55.7,214,0,NOT
M16368,M,24.85,35.45,1507,37.3,217,0,NOT
L48689,L,24.85,35.35,1429,37.7,220,1,TWF
M16370,M,24.95,35.55,1547,38.9,0,0,NOT
L48691,L,24.95,35.55,1642,30.3,3,0,NOT
H30926,H,24.85,35.55,1503,36.3,5,0,NOT
L48693,L,24.95,35.55,1568,32.9,10,0,NOT
M16374,M,24.95,35.65,1628,37.6,12,0,NOT
M16375,M,25.05,35.75,1614,35.5,15,0,NOT
L48696,L,25.05,35.75,1278,54,18,0,NOT
M16377,M,25.05,35.75,1408,38.8,20,0,NOT
H30932,H,25.05,35.85,1371,55.7,23,0,NOT
M16379,M,25.05,35.75,1512,38.5,28,0,NOT
L48700,L,25.15,35.95,1472,40.1,31,0,NOT
M16381,M,25.05,35.75,1585,34.3,33,0,NOT
H30936,H,25.05,35.85,1562,37.7,36,0,NOT
L48703,L,25.15,35.85,1519,36.9,41,0,NOT
L48704,L,25.05,35.85,1601,35.8,43,0,NOT
L48705,L,25.05,35.85,2449,13.8,45,0,NOT
L48706,L,24.95,35.85,1787,27.6,47,0,NOT
H30941,H,24.95,35.95,1425,44.5,49,0,NOT
L48708,L,24.95,35.85,1559,34,54,0,NOT
L48709,L,24.95,35.85,1557,36,56,0,NOT
L48710,L,24.95,35.85,1497,40.5,58,0,NOT
H30945,H,24.95,35.85,1438,41.4,60,0,NOT
M16392,M,24.95,35.75,1417,39.2,65,0,NOT
M16393,M,24.85,35.75,1339,51.4,68,0,NOT
L48714,L,24.85,35.65,1757,29.1,71,0,NOT
L48715,L,24.85,35.65,1581,36.1,73,0,NOT
M16396,M,25.05,35.75,1326,54.4,75,0,NOT
M16397,M,25.25,35.95,1467,39.6,78,0,NOT
L48718,L,25.25,35.95,1798,29.6,81,0,NOT
M16399,M,25.35,36.05,1449,46.4,83,0,NOT
M16400,M,25.25,35.95,1525,39.3,86,0,NOT
L48721,L,25.25,35.85,2304,15.1,89,0,NOT
L48722,L,25.15,35.75,1379,54.7,91,0,NOT
L48723,L,25.25,35.75,1628,34.9,93,0,NOT
L48724,L,25.25,35.85,1474,52.7,95,0,NOT
M16405,M,25.25,35.85,1544,38.8,97,0,NOT
L48726,L,25.25,35.75,1391,48.4,100,0,NOT
L48727,L,25.15,35.75,1348,55.5,102,0,NOT
M16408,M,25.15,35.65,1349,52.1,104,0,NOT
L48729,L,25.25,35.75,1706,29.5,107,0,NOT
L48730,L,25.25,35.75,1638,32.4,109,0,NOT
L48731,L,25.25,35.65,1458,40.1,111,0,NOT
L48732,L,25.35,35.75,1781,27.8,113,0,NOT
L48733,L,25.35,35.65,1332,59.1,115,0,NOT
M16414,M,25.25,35.55,1584,31.7,117,0,NOT
L48735,L,25.25,35.45,1491,42,120,0,NOT
H30970,H,25.25,35.35,1398,47.1,122,0,NOT
L48737,L,25.15,35.25,1585,30.6,127,0,NOT
M16418,M,25.05,35.15,1476,43.5,129,0,NOT
L48739,L,25.05,35.15,1458,41.8,132,0,NOT
M16420,M,25.05,35.25,1510,39.9,134,0,NOT
L48741,L,25.05,35.25,1388,53.8,137,0,NOT
L48742,L,25.05,35.15,2216,16.8,139,0,NOT
L48743,L,25.05,35.15,1402,51,141,0,NOT
M16424,M,24.85,35.05,2090,19,143,0,NOT
L48745,L,24.85,35.05,1459,42.1,146,0,NOT
M16426,M,24.85,34.95,1403,44.8,148,0,NOT
L48747,L,24.95,35.05,1521,39.3,151,0,NOT
L48748,L,25.05,35.05,1407,47.1,153,0,NOT
M16429,M,24.95,35.05,1654,35.3,155,0,NOT
L48750,L,25.05,35.25,1452,43.5,158,0,NOT
L48751,L,25.15,35.25,1528,37.3,160,0,NOT
L48752,L,25.05,35.15,1230,59.6,162,0,NOT
L48753,L,25.05,35.05,1466,42.4,164,0,NOT
L48754,L,25.05,35.05,1478,50.1,166,0,NOT
L48755,L,25.05,35.15,2057,18,168,0,NOT
L48756,L,25.15,35.25,1490,41.7,170,0,NOT
L48757,L,25.15,35.25,1484,43.4,172,0,NOT
L48758,L,25.15,35.25,1593,37,174,0,NOT
L48759,L,25.15,35.15,1444,43.8,176,0,NOT
M16440,M,25.15,35.25,1444,47.5,178,0,NOT
M16441,M,25.05,35.15,1560,33,181,0,NOT
H30996,H,24.95,35.15,1530,42,184,0,NOT
L48763,L,25.05,35.25,1310,61,189,1,OSF
M16444,M,25.05,35.15,1639,33.3,191,0,NOT
L48765,L,25.05,35.15,1400,48.7,194,0,NOT
M16446,M,25.15,35.25,1486,44.2,196,0,NOT
M16447,M,25.05,35.15,1448,43.3,199,0,NOT
L48768,L,25.05,35.15,1688,32,202,0,NOT
M16449,M,24.95,35.15,1453,41.5,204,0,NOT
L48770,L,25.05,35.25,1497,37.7,207,0,NOT
L48771,L,25.05,35.25,1355,49.4,209,0,NOT
L48772,L,24.95,35.25,1592,38.2,211,0,NOT
L48773,L,24.85,35.15,1544,34.7,213,0,NOT
M16454,M,24.85,35.05,1373,51.2,215,0,NOT
L48775,L,24.85,35.05,1365,52.9,218,1,OSF
L48776,L,24.85,34.95,1877,24.3,0,0,NOT
L48777,L,24.75,34.95,1531,40.8,2,0,NOT
L48778,L,24.75,34.85,1501,36.7,4,0,NOT
L48779,L,24.75,34.85,1490,46.2,6,0,NOT
M16460,M,24.65,34.65,1543,43.7,8,0,NOT
L48781,L,24.65,34.65,1597,38.2,11,0,NOT
H31016,H,24.65,34.75,1600,33.5,13,0,NOT
M16463,M,24.65,34.65,1622,32.1,18,0,NOT
L48784,L,24.65,34.65,1452,39.8,21,0,NOT
L48785,L,24.65,34.65,1396,42.5,23,0,NOT
L48786,L,24.65,34.55,1505,39.7,25,0,NOT
L48787,L,24.65,34.65,1412,48.3,27,0,NOT
L48788,L,24.65,34.55,1393,38,29,0,NOT
L48789,L,24.55,34.55,1581,34.9,31,0,NOT
L48790,L,24.65,34.65,1573,37.9,33,0,NOT
M16471,M,24.65,34.75,1726,27.3,35,0,NOT
M16472,M,24.75,34.75,1540,39.8,38,0,NOT
L48793,L,24.75,34.85,1296,62.9,41,0,NOT
M16474,M,24.65,34.75,1802,25.8,43,0,NOT
L48795,L,24.65,34.75,1447,48.6,46,0,NOT
H31030,H,24.65,34.65,1662,30.7,48,0,NOT
L48797,L,24.65,34.65,1563,34.3,53,0,NOT
L48798,L,24.75,34.65,1286,59.5,55,0,NOT
L48799,L,24.75,34.55,1590,34.6,57,0,NOT
L48800,L,24.75,34.55,1492,43.7,59,0,NOT
L48801,L,24.55,34.45,1844,21.9,61,0,NOT
H31036,H,24.55,34.45,1538,38.3,63,0,NOT
L48803,L,24.55,34.45,1921,22.9,68,0,NOT
M16484,M,24.65,34.65,1310,57.9,70,0,NOT
L48805,L,24.75,34.65,1365,46.9,73,0,NOT
M16486,M,24.75,34.65,1303,59.3,75,0,NOT
L48807,L,24.75,34.65,1499,37.5,78,0,NOT
L48808,L,24.75,34.65,1451,38.2,80,0,NOT
M16489,M,24.75,34.75,1336,54.4,82,0,NOT
L48810,L,24.75,34.75,1412,44.5,85,0,NOT
L48811,L,24.85,34.85,1433,39.2,87,0,NOT
L48812,L,24.75,34.75,1426,43.6,89,0,NOT
L48813,L,24.75,34.75,1476,45.2,91,0,NOT
H31048,H,24.75,34.75,1406,58.5,93,0,NOT
L48815,L,24.65,34.65,1383,56.5,98,0,NOT
L48816,L,24.75,34.65,1505,37.3,100,0,NOT
L48817,L,24.75,34.65,1665,33.9,102,0,NOT
L48818,L,24.75,34.65,1397,45,104,0,NOT
M16499,M,24.75,34.65,1450,43.5,106,0,NOT
L48820,L,24.85,34.65,1567,36.4,109,0,NOT
M16501,M,24.85,34.85,1555,37,111,0,NOT
H31056,H,24.85,34.65,1588,35.4,114,0,NOT
L48823,L,24.85,34.65,1453,37.7,119,0,NOT
L48824,L,24.85,34.65,1622,33.3,121,0,NOT
L48825,L,24.75,34.65,1538,38.5,123,0,NOT
M16506,M,24.75,34.55,1527,42.8,125,0,NOT
L48827,L,24.65,34.65,1761,28.9,128,0,NOT
L48828,L,24.75,34.65,1373,50.2,130,0,NOT
H31063,H,24.85,34.75,1482,37.8,132,0,NOT
M16510,M,24.85,34.75,1417,51,137,0,NOT
L48831,L,24.85,34.65,1414,51.7,140,0,NOT
H31066,H,24.75,34.65,1635,34,142,0,NOT
L48833,L,24.85,34.65,1386,57.3,147,0,NOT
L48834,L,25.05,34.95,1379,62.3,149,0,NOT
M16515,M,25.05,34.85,1577,35.9,151,0,NOT
L48836,L,25.05,34.95,1532,42.5,154,0,NOT
M16517,M,24.95,34.85,1374,48.8,156,0,NOT
H31072,H,24.95,34.85,1570,35.3,159,0,NOT
L48839,L,24.95,34.85,1697,31,164,0,NOT
L48840,L,25.05,34.85,1499,44.1,166,0,NOT
M16521,M,25.05,34.85,1411,47.2,168,0,NOT
H31076,H,25.05,34.75,1462,45.5,171,0,NOT
M16523,M,24.95,34.75,1759,28.6,176,0,NOT
L48844,L,25.05,34.85,1535,38,179,0,NOT
H31079,H,25.05,34.75,1491,39.7,181,0,NOT
L48846,L,25.05,34.75,1551,36,186,0,NOT
L48847,L,25.05,34.75,1769,27.2,188,0,NOT
L48848,L,25.05,34.75,1551,34.1,190,0,NOT
L48849,L,25.05,34.75,1544,31.4,192,0,NOT
L48850,L,25.05,34.65,1528,31.1,194,0,NOT
L48851,L,24.95,34.75,1614,35.8,196,0,NOT
L48852,L,24.95,34.65,1432,49.8,198,0,NOT
M16533,M,24.95,34.65,1384,43.7,200,0,NOT
L48854,L,24.95,34.65,1540,37.8,203,0,NOT
L48855,L,24.85,34.55,1407,43.9,205,0,NOT
H31090,H,24.75,34.45,1418,43,207,0,NOT
M16537,M,24.75,34.35,1647,30.8,212,0,NOT
L48858,L,24.85,34.35,1644,32.8,215,0,NOT
L48859,L,24.85,34.35,1792,27.9,217,0,NOT
M16540,M,24.75,34.25,1610,34.6,219,0,NOT
M16541,M,24.65,34.15,1804,26,222,0,NOT
H31096,H,24.75,34.25,1604,36.1,225,1,TWF
M16543,M,24.75,34.25,1403,52.8,0,0,NOT
L48864,L,24.65,34.15,1438,44.5,3,0,NOT
L48865,L,24.75,34.15,1824,26.3,5,0,NOT
H31100,H,24.75,34.15,1663,28.7,7,0,NOT
L48867,L,24.75,34.15,1502,36.7,12,0,NOT
L48868,L,24.75,34.25,1606,35.5,14,0,NOT
L48869,L,24.75,34.35,1561,37.7,16,0,NOT
M16550,M,24.75,34.25,1435,42.9,18,0,NOT
L48871,L,24.75,34.35,1602,38.3,21,0,NOT
M16552,M,24.95,34.45,1764,27.7,23,0,NOT
H31107,H,24.85,34.35,1683,27.8,26,0,NOT
L48874,L,24.85,34.35,1618,35.2,31,0,NOT
L48875,L,24.85,34.45,1509,41.6,33,0,NOT
L48876,L,24.75,34.45,1550,39,35,0,NOT
M16557,M,24.75,34.45,1519,44,37,0,NOT
L48878,L,24.75,34.45,1481,38,40,0,NOT
L48879,L,24.95,34.55,1289,48.3,42,0,NOT
M16560,M,24.85,34.45,1844,23.8,44,0,NOT
L48881,L,24.85,34.55,1479,42.5,47,0,NOT
L48882,L,24.85,34.55,1430,47.3,49,0,NOT
M16563,M,24.95,34.65,1636,36.7,51,0,NOT
M16564,M,24.95,34.65,1503,44.7,54,0,NOT
M16565,M,24.95,34.65,1608,32.6,57,0,NOT
L48886,L,25.05,34.65,1521,42.9,60,0,NOT
L48887,L,25.05,34.65,1439,41.6,62,0,NOT
L48888,L,25.05,34.65,1627,31.5,64,0,NOT
